id,user_id,student_id_number,birth_date,cohort_id,enrollment_status,created_at
1,1,STU-100001,2002-03-05,1,ACTIVE,2026-06-04 17:09:52.576612
2,2,STU-100002,2007-10-14,2,ACTIVE,2026-06-04 17:09:52.576653
3,3,STU-100003,2005-05-18,3,ACTIVE,2026-06-04 17:09:52.576686
4,4,STU-100004,2006-09-13,3,ACTIVE,2026-06-04 17:09:52.576716
5,5,STU-100005,2008-05-09,2,ACTIVE,2026-06-04 17:09:52.576744
6,6,STU-100006,2003-04-17,1,ACTIVE,2026-06-04 17:09:52.576772
7,7,STU-100007,2006-09-27,3,ACTIVE,2026-06-04 17:09:52.576795
8,8,STU-100008,2007-07-03,1,SUSPENDED,2026-06-04 17:09:52.576818
9,9,STU-100009,2003-11-10,1,ACTIVE,2026-06-04 17:09:52.576842
10,10,STU-100010,2004-06-16,2,ACTIVE,2026-06-04 17:09:52.576865
11,11,STU-100011,2004-02-04,3,ACTIVE,2026-06-04 17:09:52.576887
12,12,STU-100012,2004-06-01,1,ACTIVE,2026-06-04 17:09:52.576913
13,13,STU-100013,2000-10-14,1,ACTIVE,2026-06-04 17:09:52.576935
14,14,STU-100014,2001-12-12,3,ACTIVE,2026-06-04 17:09:52.576957
15,15,STU-100015,2001-04-07,1,ACTIVE,2026-06-04 17:09:52.576981
16,16,STU-100016,2005-07-26,3,ACTIVE,2026-06-04 17:09:52.577004
17,17,STU-100017,2007-04-27,1,ACTIVE,2026-06-04 17:09:52.577025
18,18,STU-100018,2007-07-29,3,ACTIVE,2026-06-04 17:09:52.577046
19,19,STU-100019,2001-06-04,2,ACTIVE,2026-06-04 17:09:52.577068
20,20,STU-100020,2008-05-07,1,ACTIVE,2026-06-04 17:09:52.577089
21,21,STU-100021,2001-09-15,3,ACTIVE,2026-06-04 17:09:52.577110
22,22,STU-100022,2000-11-23,1,ACTIVE,2026-06-04 17:09:52.577133
23,23,STU-100023,2008-06-03,3,ACTIVE,2026-06-04 17:09:52.577155
